type,sentence,perplexity
test,The horse raced past the barn fell.,500.03177
test,The old man the boat.,513.8733
test,The complex houses married and single soldiers and their families.,106.47722
test,The rat the cat the dog chased killed ate.,639.2507
test,The cotton clothing is usually made of grows in Mississippi.,250.60191
test,The magician who was late for the show disappointed the audience.,70.827934
test,The man who hunts ducks out on weekends.,251.86867
test,The professor discovered that her belief in ghosts was false after she visited the haunted house.,50.712685
test,The prime number few people can name is 17.,139.10477
test,The rent money that Mary had saved was stolen.,159.67265
test,The river floated beneath the bridge fell.,507.68527
test,The shooting of the hunters was terrible.,157.55406
test,The soldiers will the hills tomorrow march on.,1486.0784
test,The teenager gave her father who was drunk a ride home.,86.48792
test,The thief stole the painting was a friend of the artist.,49.58089
test,The top of the mountain was so steep that it could not be climbed.,8.724507
test,The truck driver had been on the road for 18 hours when he crashed into the tree.,11.5166445
test,The valley is deep the mountain is high.,98.59599
test,The visitors wondered around the museum for hours before realizing that it was closing time.,79.27743
test,The windows were open closed by the maid who was in a hurry.,57.564583
